categoria,subcategoria,mes,previsto,realizado,centro_custo
Pessoal,Salários,Jan,100000,95000,CC-001
Pessoal,Salários,Fev,100000,98000,CC-001
Pessoal,Salários,Mar,100000,102000,CC-001
Pessoal,Salários,Abr,100000,97000,CC-001
Pessoal,Benefícios,Jan,30000,28000,CC-001
Pessoal,Benefícios,Fev,30000,29500,CC-001
Pessoal,Benefícios,Mar,30000,31000,CC-001
Pessoal,Benefícios,Abr,30000,28500,CC-001
Operacional,Materiais,Jan,50000,45000,CC-002
Operacional,Materiais,Fev,50000,52000,CC-002
Operacional,Materiais,Mar,50000,48000,CC-002
Operacional,Materiais,Abr,50000,51000,CC-002
Operacional,Serviços,Jan,40000,38000,CC-002
Operacional,Serviços,Fev,40000,42000,CC-002
Operacional,Serviços,Mar,40000,39000,CC-002
Operacional,Serviços,Abr,40000,41000,CC-002
Infraestrutura,Equipamentos,Jan,80000,75000,CC-003
Infraestrutura,Equipamentos,Fev,80000,82000,CC-003
Infraestrutura,Equipamentos,Mar,80000,78000,CC-003
Infraestrutura,Equipamentos,Abr,80000,81000,CC-003
Infraestrutura,Manutenção,Jan,25000,23000,CC-003
Infraestrutura,Manutenção,Fev,25000,26000,CC-003
Infraestrutura,Manutenção,Mar,25000,24500,CC-003
Infraestrutura,Manutenção,Abr,25000,25500,CC-003
Tecnologia,Software,Jan,35000,33000,CC-004
Tecnologia,Software,Fev,35000,36000,CC-004
Tecnologia,Software,Mar,35000,34000,CC-004
Tecnologia,Software,Abr,35000,35500,CC-004
Tecnologia,Hardware,Jan,45000,42000,CC-004
Tecnologia,Hardware,Fev,45000,47000,CC-004
Tecnologia,Hardware,Mar,45000,44000,CC-004
Tecnologia,Hardware,Abr,45000,46000,CC-004
